area,isi,sess,ori,true_pos,n_sample,val_acc,true_pos_train,n_sample_train,train_acc,C,bad_fit,ori_dist_id
LI,isi=6k,13,7,20.0,38,0.5263157894736842,28.710526315789476,37,0.7759601706970128,0.1,False,1
LI,isi=6k,13,6,21.0,37,0.5675675675675675,30.16216216216216,36,0.8378378378378378,0.1,False,2
LI,isi=6k,13,5,22.0,36,0.6111111111111112,26.500000000000004,35,0.7571428571428572,0.1,False,3
LI,isi=6k,13,4,19.0,36,0.5277777777777778,28.41666666666667,35,0.811904761904762,0.1,False,4
LI,isi=6k,13,3,28.0,37,0.7567567567567568,33.02702702702702,36,0.9174174174174172,0.1,False,3
LI,isi=6k,13,2,25.0,38,0.6578947368421053,31.02631578947369,37,0.8385490753911807,0.1,False,2
LI,isi=6k,13,1,22.0,38,0.5789473684210527,35.8421052631579,37,0.9687055476529162,0.4,False,1
LI,isi=6k,12,7,12.0,37,0.32432432432432434,36.0,36,1.0,1.6,True,1
LI,isi=6k,12,6,21.0,38,0.5526315789473685,29.76315789473684,37,0.8044096728307254,0.1,False,2
LI,isi=6k,12,5,32.0,39,0.8205128205128205,35.69230769230767,38,0.9392712550607283,0.1,False,3
LI,isi=6k,12,4,26.0,37,0.7027027027027027,35.7027027027027,36,0.9917417417417417,0.1,False,4
LI,isi=6k,12,3,27.0,37,0.7297297297297297,35.486486486486484,36,0.9857357357357357,0.1,False,3
LI,isi=6k,12,2,25.0,38,0.6578947368421053,33.44736842105264,37,0.9039829302987199,0.1,False,2
LI,isi=6k,12,1,33.0,39,0.8461538461538461,36.153846153846146,38,0.9514170040485828,0.1,False,1
LI,isi=6k,10,7,17.0,34,0.5,24.97058823529412,33,0.7566844919786097,1.6,True,1
LI,isi=6k,10,6,20.0,34,0.5882352941176471,23.76470588235294,33,0.7201426024955436,0.1,False,2
LI,isi=6k,10,5,18.0,34,0.5294117647058824,21.91176470588235,33,0.6639928698752228,0.1,False,3
LI,isi=6k,10,4,20.0,34,0.5882352941176471,21.558823529411764,33,0.6532976827094474,0.1,False,4
LI,isi=6k,10,3,21.0,35,0.6,27.828571428571433,34,0.8184873949579833,0.1,False,3
LI,isi=6k,10,2,19.0,34,0.5588235294117647,24.61764705882353,33,0.7459893048128342,0.1,False,2
LI,isi=6k,10,1,20.0,33,0.6060606060606061,25.060606060606062,32,0.7831439393939394,0.1,False,1
LI,isi=6k,7,7,20.0,36,0.5555555555555556,22.416666666666668,35,0.6404761904761905,0.1,False,1
LI,isi=6k,7,6,19.0,36,0.5277777777777778,26.833333333333336,35,0.7666666666666667,0.4,False,2
LI,isi=6k,7,5,12.0,36,0.3333333333333333,21.66666666666667,35,0.6190476190476192,1.6,True,3
LI,isi=6k,7,4,19.0,35,0.5428571428571428,21.05714285714286,34,0.6193277310924371,0.2,False,4
LI,isi=6k,7,3,16.0,35,0.45714285714285713,22.62857142857143,34,0.665546218487395,1.6,True,3
LI,isi=6k,7,2,21.0,35,0.6,22.65714285714286,34,0.6663865546218488,0.1,False,2
LI,isi=6k,7,1,21.0,36,0.5833333333333334,25.277777777777786,35,0.7222222222222224,0.1,False,1
LI,isi=6k,6,7,19.0,35,0.5428571428571428,27.314285714285717,34,0.8033613445378152,0.1,False,1
LI,isi=6k,6,6,18.0,35,0.5142857142857142,28.142857142857142,34,0.8277310924369747,0.1,False,2
LI,isi=6k,6,5,21.0,35,0.6,28.171428571428574,34,0.8285714285714286,0.1,False,3
LI,isi=6k,6,4,20.0,35,0.5714285714285714,26.057142857142857,34,0.7663865546218487,0.1,False,4
LI,isi=6k,6,3,20.0,34,0.5882352941176471,27.235294117647054,33,0.8253119429590017,0.1,False,3
LI,isi=6k,6,2,13.0,35,0.37142857142857144,31.342857142857138,34,0.9218487394957982,1.6,True,2
LI,isi=6k,6,1,18.0,35,0.5142857142857142,32.028571428571425,34,0.9420168067226891,0.4,False,1
LI,isi=6k,3,7,17.0,35,0.4857142857142857,24.571428571428577,34,0.7226890756302522,1.6,True,1
LI,isi=6k,3,6,19.0,36,0.5277777777777778,25.69444444444445,35,0.7341269841269843,0.1,False,2
LI,isi=6k,3,5,24.0,36,0.6666666666666666,24.722222222222225,35,0.7063492063492064,0.1,False,3
LI,isi=6k,3,4,21.0,35,0.6,23.885714285714286,34,0.7025210084033614,0.1,False,4
